study,responders,sampleSize,treatment
He 2021,13,61,EIT_guided_PEEP
He 2021,15,56,Conventional_low_PEEP
Cavalcanti 2017,277,501,Recruitment_maneuver_AND_compliance_guided_PEEP
Cavalcanti 2017,251,509,Conventional_low_PEEP
Beitler 2019,33,102,Esophageal_pressure_guided_PEEP
Beitler 2019,30,98,Empirical_high_PEEP
Yuan 2026,52,93,EIT_guided_PEEP
Yuan 2026,51,97,Conventional_low_PEEP
Villar 2006,24,45,Respiratory_mechanics_guided_ventilation
Villar 2006,16,50,Conventional_low_PEEP
Brower 2004,70,276,Empirical_high_PEEP
Brower 2004,68,273,Conventional_low_PEEP
Khan 2018,142,245,Recruitment_maneuver_AND_compliance_guided_PEEP
Khan 2018,125,245,Conventional_low_PEEP
Kacmarek 2016,28,99,Recruitment_maneuver_AND_compliance_guided_PEEP
Kacmarek 2016,33,101,Conventional_low_PEEP
Constantin 2019,53,196,Lung_morphology_guided_ventilation
Constantin 2019,56,204,Conventional_low_PEEP
Meade 2008,173,475,Empirical_high_PEEP
Meade 2008,205,508,Conventional_low_PEEP
Mercat 2008,107,385,Empirical_high_PEEP
Mercat 2008,119,382,Conventional_low_PEEP
Kung 2019,17,60,Recruitment_maneuver_AND_compliance_guided_PEEP
Kung 2019,18,60,Conventional_low_PEEP
Sun 2024,15,53,Esophageal_pressure_guided_PEEP
Sun 2024,23,51,Conventional_lung_protective_ventilation
Hamama 2021,3,55,Respiratory_mechanics_guided_ventilation
Hamama 2021,11,55,Conventional_low_PEEP
