"study","year","treatment","responders","sampleSize"
"Ostertag et al.",2006,"Ablative_Laser_Erbium",11,27
"Ostertag et al.",2006,"5_FU",21,26
"Szeimies_sup et al.",2010,"ALA_PDT_4h",13,53
"Szeimies_sup et al.",2010,"PLA_PDT",5,10
"Szeimies_inf et al.",2010,"ALA_PDT_4h",13,121
"Szeimies_inf et al.",2010,"CRYO",20,113
"Szeimies_inf et al.",2010,"PLA_PDT",3,19
"Seo et al.",2018,"CAL_Ablative_Laser_MAL_160_PDT_3h",12,245
"Seo et al.",2018,"Ablative_Laser_MAL_160_PDT_3h",24,234
"Krawtchenko et al.",2007,"CRYO",18,25
"Krawtchenko et al.",2007,"IMIQ_5_3x",7,26
"Krawtchenko et al.",2007,"5_FU",11,24
"Jorizzo et al.",2007,"IMIQ_5_3x",23,59
"Jorizzo et al.",2007,"PLA_Vehicle",8,14
"Lee et al.",2005,"IMIQ_5_3x",19,77
"Lee et al.",2005,"IMIQ_5_2x",23,54
"Blauvelt et al.",2021,"TBN_1%",72,124
"Stockfleth et al.",2004,"IMIQ_5_3x",2,25
"Stockfleth et al.",2004,"PLA_Vehicle",9,10
"Zane et al.",2014,"MAL_160_PDT_3h",20,67
"Zane et al.",2014,"DHA",18,25
"Reinhold et al.",2024,"ALA_PDT_3h",18,49
"Reinhold et al.",2024,"PLA_PDT",1,7
"Sorbellini et al.",2019,"OTAQK",5,36
"Sorbellini et al.",2019,"PLA_Vehicle",11,36
"Berman et al.",2014,"INGMEB_CRYO",58,149
"Berman et al.",2014,"CRYO",73,140
