"studlab";"treat1";"treat2";"TE";"seTE";"event1";"n1";"event2";"n2";"incr1";"incr2";"study";"year";"outcome";"sampleSize1";"sampleSize2";"responders1";"responders2";"treatment1";"treatment2";"Specification (mg, h)1";"Specification (mg, h)2";"Observações1";"Observações2"
"Ostertag et al.";"Ablative_Laser_Erbium";"5_FU";-0,6843674929079;0,251056892017652;11;27;21;26;0;0;"Ostertag et al.";2006;"Patient_Recurrence_Events";27;26;11;21;"Ablative_Laser_Erbium";"5_FU";"Laser resurfacing with Er:YAG (Erbium:Yttrium–alluminum–garnet)";NA;NA;NA
"Szeimies_sup et al.";"ALA_PDT_4h";"PLA_PDT";-0,71219537553064;0,397561507687521;13;53;5;10;0;0;"Szeimies_sup et al.";2010;"Patient_Recurrence_Events";53;10;13;5;"ALA_PDT_4h";"PLA_PDT";"5-ALA patch-PDT";"-";"superiority study";"superiority study"
"Szeimies_inf et al.";"ALA_PDT_4h";"CRYO";-0,499185642976855;0,3313744959876;13;121;20;113;0;0;"Szeimies_inf et al.";2010;"Patient_Recurrence_Events";121;113;13;20;"ALA_PDT_4h";"CRYO";"5-ALA patch-PDT";"-";"non-inferiority study";"non-inferiority study"
"Szeimies_inf et al.";"ALA_PDT_4h";"PLA_PDT";-0,385014497636873;0,591067143816271;13;121;3;19;0;0;"Szeimies_inf et al.";2010;"Patient_Recurrence_Events";121;19;13;3;"ALA_PDT_4h";"PLA_PDT";"5-ALA patch-PDT";"-";"non-inferiority study";"non-inferiority study"
"Szeimies_inf et al.";"CRYO";"PLA_PDT";0,114171145339981;0,567320189014846;20;113;3;19;0;0;"Szeimies_inf et al.";2010;"Patient_Recurrence_Events";113;19;20;3;"CRYO";"PLA_PDT";"-";"-";"non-inferiority study";"non-inferiority study"
"Krawtchenko et al.";"CRYO";"5_FU";0,451654490577539;0,254554473144708;18;25;11;24;0;0;"Krawtchenko et al.";2007;"Patient_Recurrence_Events";25;24;18;11;"CRYO";"5_FU";NA;NA;NA;NA
"Krawtchenko et al.";"CRYO";"IMIQ_5_3x";0,983682321994133;0,346339659801126;18;25;7;26;0;0;"Krawtchenko et al.";2007;"Patient_Recurrence_Events";25;26;18;7;"CRYO";"IMIQ_5_3x";NA;"5% 3x_week";NA;NA
"Krawtchenko et al.";"IMIQ_5_3x";"5_FU";-0,532027831416594;0,391966871862953;7;26;11;24;0;0;"Krawtchenko et al.";2007;"Patient_Recurrence_Events";26;24;7;11;"IMIQ_5_3x";"5_FU";"5% 3x_week";NA;NA;NA
"Jorizzo et al.";"IMIQ_5_3x";"PLA_Vehicle";-0,382427440041147;0,283020382479109;23;59;8;14;0;0;"Jorizzo et al.";2007;"Patient_Recurrence_Events";59;14;23;8;"IMIQ_5_3x";"PLA_Vehicle";"5% 3x_week";NA;NA;NA
"Lee et al.";"IMIQ_5_3x";"IMIQ_5_2x";-0,545876612052119;0,254173775813718;19;77;23;54;0;0;"Lee et al.";2005;"Patient_Recurrence_Events";77;54;19;23;"IMIQ_5_3x";"IMIQ_5_2x";"5% 3x_week";"5% 2x_week";NA;NA
"Stockfleth et al.";"IMIQ_5_3x";"PLA_Vehicle";-2,3250579488461;0,692966103212863;2;25;9;11;0;0;"Stockfleth et al.";2004;"Patient_Recurrence_Events";25;11;2;9;"IMIQ_5_3x";"PLA_Vehicle";"5%_3x_week";NA;NA;NA
"Reinhold et al.";"ALA_PDT_3h";"PLA_PDT";0,944461608840852;0,944611163089399;18;49;1;7;0;0;"Reinhold et al.";2024;"Patient_Recurrence_Events";49;7;18;1;"ALA_PDT_3h";"PLA_PDT";NA;NA;NA;NA
"Sorbellini et al.";"OTAQK";"PLA_Vehicle";-0,78845736036427;0,485132492576549;5;36;11;36;0;0;"Sorbellini et al.";2019;"Patient_Recurrence_Events";36;36;5;11;"OTAQK";"PLA_Vehicle";"-";"-";"split-face";"splt-face"
"Berman et al.";"INGMEB_CRYO";"CRYO";-0,292320313938127;0,130712443587062;58;149;73;140;0;0;"Berman et al.";2014;"Patient_Recurrence_Events";149;140;58;73;"INGMEB_CRYO";"CRYO";"Ingenol_Mebutate";"Vehicule";NA;NA
